variant_id,title,sku,price,available
42433110016082,Clearly Cute - Default Title,PHLipBalm-ClearlyCute,10.0,True
42387386499154,Peach Jelly - Default Title,EyePalette-PeachJelly,14.0,True
42439058194514,Romantasy Collection - Default Title,Bundle-RomantasyCollection,108.0,True
42427657289810,Berry Glaze - Default Title,Bundle-BerryGlaze,26.0,True
42427656765522,Pink Core - Default Title,Bundle-PinkCore,26.0,True
42427415887954,Currently Trending - Default Title,Bundle-CurrentlyTrending,26.0,True
42427414708306,Best Nudes - Default Title,Bundle-BestNudes,26.0,True
42390866755666,Wine Glass - Default Title,HSGlossyLipstick-WineGlass,10.0,True
42390863609938,Who Is This Diva? - Default Title,HSGlossyLipstick-WhoIsThisDiva?,10.0,True
42390863446098,Sunday Brunch - Default Title,HSGlossyLipstick-SundayBrunch,10.0,True
42390863347794,Sugar N' Spice - Default Title,HSGlossyLipstick-SugarN'Spice,10.0,True
42390863183954,Pink It Over - Default Title,HSGlossyLipstick-PinkItOver,10.0,True
42390863085650,Mocha Melt - Default Title,HSGlossyLipstick-MochaMelt,10.0,True
42390862528594,Melrose Place - Default Title,HSGlossyLipstick-MelrosePlace,10.0,True
42390861938770,Meet Cute - Default Title,HSGlossyLipstick-MeetCute,10.0,True
42390860693586,Lover Girl - Default Title,HSGlossyLipstick-LoverGirl,10.0,True
42390860234834,Lavender Lemonade - Default Title,HSGlossyLipstick-LavenderLemonade,10.0,True
42390859448402,Honey Bunny - Default Title,HSGlossyLipstick-HoneyBunny,10.0,True
42390859382866,High Maintenance - Default Title,HSGlossyLipstick-HighMaintenance,10.0,True
42390859153490,DND - Default Title,HSGlossyLipstick-DND,10.0,True
42390857187410,Couldn't Be Me - Default Title,HSGlossyLipstick-Couldn'tBeMe,10.0,True
42390853976146,A Little Zhuzh - Default Title,HSGlossyLipstick-ALittleZhuzh,10.0,True
42390853648466,Airport Crush - Default Title,HSGlossyLipstick-AirportCrush,10.0,True
42367554519122,Made For Me - Default Title,SoJuicyStick-MadeForMe,10.0,True
42367554453586,Forbidden Love - Default Title,SoJuicyStick-ForbiddenLove,10.0,True
42367554420818,IMO - Default Title,SoJuicyStick-IMO,10.0,True
42367554388050,Heart Cake - Default Title,SoJuicyStick-HeartCake,10.0,True
42367549538386,Dinner Date - Default Title,SoJuicyStick-DinnerDate,10.0,True
42380655460434,Golden Glitz - Default Title,Bundle-GoldenGlitz,26.0,False
42380654870610,Glaze Over - Default Title,Bundle-GlazeOver,26.0,False
42380654575698,Pink Serve - Default Title,Bundle-PinkServe,26.0,True
42380654542930,Party Mode - Default Title,Bundle-PartyMode,26.0,False
42380654477394,Frost Out - Default Title,Bundle-FrostOut,26.0,False
42380654346322,Nudes On Lock - Default Title,Bundle-NudesOnLock,26.0,False
42380653854802,Extra Jelly - Default Title,Bundle-ExtraJelly,120.0,False
